month_year,ID,PERMIT#,ISSUE_DATE,LATITUDE,LONGITUDE,LOCATION
2006-01,3978,3978,3978,3978,3978,3978
2006-02,3829,3829,3829,3829,3829,3829
2006-03,4718,4718,4718,4718,4718,4718
2006-04,3774,3774,3774,3774,3774,3774
2006-05,4188,4188,4188,4188,4188,4188
2006-06,3786,3786,3786,3786,3786,3786
2006-07,3665,3665,3665,3665,3665,3665
2006-08,4448,4448,4448,4448,4448,4448
2006-09,4149,4149,4149,4149,4149,4149
2006-10,3866,3866,3866,3866,3866,3866
2006-11,3524,3524,3524,3524,3524,3524
2006-12,2772,2772,2772,2772,2772,2772
2007-01,2752,2752,2752,2752,2752,2752
2007-02,2528,2528,2528,2528,2528,2528
2007-03,3149,3149,3149,3149,3149,3149
2007-04,3500,3500,3500,3500,3500,3500
2007-05,4144,4144,4144,4144,4144,4144
2007-06,4537,4537,4537,4537,4537,4537
2007-07,7936,7936,7936,7936,7936,7936
2007-08,4064,4064,4064,4064,4064,4064
2007-09,3693,3693,3693,3693,3693,3693
2007-10,4649,4649,4649,4649,4649,4649
2007-11,3942,3942,3942,3942,3942,3942
2007-12,2788,2788,2788,2788,2788,2788
2008-01,2915,2915,2915,2915,2915,2915
2008-02,2905,2905,2905,2905,2905,2905
2008-03,3091,3091,3091,3091,3091,3091
2008-04,3765,3765,3765,3765,3765,3765
2008-05,3885,3885,3885,3885,3885,3885
2008-06,3565,3565,3565,3565,3565,3565
2008-07,3800,3800,3800,3800,3800,3800
2008-08,3652,3652,3652,3652,3652,3652
2008-09,3588,3588,3588,3588,3588,3588
2008-10,4010,4010,4010,4010,4010,4010
2008-11,3312,3312,3312,3312,3312,3312
2008-12,2680,2680,2680,2680,2680,2680
2009-01,2288,2288,2288,2288,2288,2288
2009-02,2645,2645,2645,2645,2645,2645
2009-03,3762,3762,3762,3762,3762,3762
2009-04,3499,3499,3499,3499,3499,3499
2009-05,3428,3428,3428,3428,3428,3428
2009-06,3868,3868,3868,3868,3868,3868
2009-07,3445,3445,3445,3445,3445,3445
2009-08,3587,3587,3587,3587,3587,3587
2009-09,3638,3638,3638,3638,3638,3638
2009-10,3894,3894,3894,3894,3894,3894
2009-11,3314,3314,3314,3314,3314,3314
2009-12,2605,2605,2605,2605,2605,2605
2010-01,2577,2577,2577,2577,2577,2577
2010-02,2764,2764,2764,2764,2764,2764
2010-03,3381,3381,3381,3381,3381,3381
2010-04,3753,3753,3753,3753,3753,3753
2010-05,3463,3463,3463,3463,3463,3463
2010-06,3599,3599,3599,3599,3599,3599
2010-07,3503,3503,3503,3503,3503,3503
2010-08,3575,3575,3575,3575,3575,3575
2010-09,3457,3457,3457,3457,3457,3457
2010-10,3459,3459,3459,3459,3459,3459
2010-11,3147,3147,3147,3147,3147,3147
2010-12,2216,2216,2216,2216,2216,2216
2011-01,2302,2302,2302,2302,2302,2302
2011-02,2199,2199,2199,2199,2199,2199
2011-03,3126,3126,3126,3126,3126,3126
2011-04,3810,3810,3810,3810,3810,3810
2011-05,3377,3377,3377,3377,3377,3377
2011-06,3687,3687,3687,3687,3687,3687
2011-07,3073,3073,3073,3073,3073,3073
2011-08,3579,3579,3579,3579,3579,3579
2011-09,3216,3216,3216,3216,3216,3216
2011-10,3172,3172,3172,3172,3172,3172
2011-11,2728,2728,2728,2728,2728,2728
2011-12,2427,2427,2427,2427,2427,2427
2012-01,2182,2182,2182,2182,2182,2182
2012-02,2533,2533,2533,2533,2533,2533
2012-03,3226,3226,3226,3226,3226,3226
2012-04,3536,3536,3536,3536,3536,3536
2012-05,3746,3746,3746,3746,3746,3746
2012-06,3626,3626,3626,3626,3626,3626
2012-07,3294,3294,3294,3294,3294,3294
2012-08,3522,3522,3522,3522,3522,3522
2012-09,3279,3279,3279,3279,3279,3279
2012-10,3929,3929,3929,3929,3929,3929
2012-11,3186,3186,3186,3186,3186,3186
2012-12,2362,2362,2362,2362,2362,2362
2013-01,3142,3142,3142,3142,3142,3142
2013-02,2508,2508,2508,2508,2508,2508
2013-03,3115,3115,3115,3115,3115,3115
2013-04,3371,3371,3371,3371,3371,3371
2013-05,4332,4332,4332,4332,4332,4332
2013-06,3694,3694,3694,3694,3694,3694
2013-07,3693,3693,3693,3693,3693,3693
2013-08,3480,3480,3480,3480,3480,3480
2013-09,3417,3417,3417,3417,3417,3417
2013-10,3987,3987,3987,3987,3987,3987
2013-11,3355,3355,3355,3355,3355,3355
2013-12,2309,2309,2309,2309,2309,2309
2014-01,2551,2551,2551,2551,2551,2551
2014-02,2483,2483,2483,2483,2483,2483
2014-03,3091,3091,3091,3091,3091,3091
2014-04,3862,3862,3862,3862,3862,3862
2014-05,3531,3531,3531,3531,3531,3531
2014-06,3539,3539,3539,3539,3539,3539
2014-07,5719,5719,5719,5719,5719,5719
2014-08,4222,4222,4222,4222,4222,4222
2014-09,4045,4045,4045,4045,4045,4045
2014-10,3925,3925,3925,3925,3925,3925
2014-11,3236,3236,3236,3236,3236,3236
2014-12,3675,3675,3675,3675,3675,3675
2015-01,2659,2659,2659,2659,2659,2659
2015-02,2580,2580,2580,2580,2580,2580
2015-03,4140,4140,4140,4140,4140,4140
2015-04,3987,3987,3987,3987,3987,3987
2015-05,3692,3692,3692,3692,3692,3692
2015-06,4193,4193,4193,4193,4193,4193
2015-07,4221,4221,4221,4221,4221,4221
2015-08,3811,3811,3811,3811,3811,3811
2015-09,3937,3937,3937,3937,3937,3937
2015-10,4078,4078,4078,4078,4078,4078
2015-11,3612,3612,3612,3612,3612,3612
2015-12,3612,3612,3612,3612,3612,3612
2016-01,2965,2965,2965,2965,2965,2965
2016-02,3311,3311,3311,3311,3311,3311
2016-03,4357,4357,4357,4357,4357,4357
2016-04,3974,3974,3974,3974,3974,3974
2016-05,3986,3986,3986,3986,3986,3986
2016-06,4235,4235,4235,4235,4235,4235
2016-07,3873,3873,3873,3873,3873,3873
2016-08,4082,4082,4082,4082,4082,4082
2016-09,4357,4357,4357,4357,4357,4357
2016-10,3860,3860,3860,3860,3860,3860
2016-11,3788,3788,3788,3788,3788,3788
2016-12,3103,3103,3103,3103,3103,3103
2017-01,3167,3167,3167,3167,3167,3167
2017-02,3259,3259,3259,3259,3259,3259
2017-03,4487,4487,4487,4487,4487,4487
2017-04,3668,3668,3668,3668,3668,3668
2017-05,4529,4529,4529,4529,4529,4529
2017-06,4191,4191,4191,4191,4191,4191
2017-07,3763,3763,3763,3763,3763,3763
2017-08,4945,4945,4945,4945,4945,4945
2017-09,3921,3921,3921,3921,3921,3921
2017-10,4139,4139,4139,4139,4139,4139
2017-11,3866,3866,3866,3866,3866,3866
2017-12,3232,3232,3232,3232,3232,3232
2018-01,3230,3230,3230,3230,3230,3230
2018-02,3125,3125,3125,3125,3125,3125
2018-03,4297,4297,4297,4297,4297,4297
2018-04,3930,3930,3930,3930,3930,3930
2018-05,4235,4235,4235,4235,4235,4235
2018-06,4297,4297,4297,4297,4297,4297
2018-07,4099,4099,4099,4099,4099,4099
2018-08,4519,4519,4519,4519,4519,4519
2018-09,4026,4026,4026,4026,4026,4026
2018-10,4496,4496,4496,4496,4496,4496
2018-11,3581,3581,3581,3581,3581,3581
2018-12,3050,3050,3050,3050,3050,3050
2019-01,3071,3071,3071,3071,3071,3071
2019-02,3074,3074,3074,3074,3074,3074
2019-03,4006,4006,4006,4006,4006,4006
2019-04,4734,4734,4734,4734,4734,4734
2019-05,4701,4701,4701,4701,4701,4701
2019-06,4156,4156,4156,4156,4156,4156
2019-07,4491,4491,4491,4491,4491,4491
2019-08,4808,4808,4808,4808,4808,4808
2019-09,4284,4284,4284,4284,4284,4284
2019-10,4583,4583,4583,4583,4583,4583
2019-11,3374,3374,3374,3374,3374,3374
2019-12,3234,3234,3234,3234,3234,3234
2020-01,3452,3452,3452,3452,3452,3452
2020-02,3395,3395,3395,3395,3395,3395
2020-03,3667,3667,3667,3667,3667,3667
2020-04,3225,3225,3225,3225,3225,3225
2020-05,3045,3045,3045,3045,3045,3045
2020-06,3612,3612,3612,3612,3612,3612
2020-07,1566,1566,1566,1566,1566,1566
